id,season,date,venue,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,umpire1,umpire2
545,2016,01-05-2016,Saurashtra Cricket Association Stadium,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,normal,0,Kings XI Punjab,23,0,AR Patel,BNJ Oxenford,VK Sharma
546,2016,01-05-2016,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiants,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,8,RG Sharma,AY Dandekar,RJ Tucker
547,2016,02-05-2016,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,5,AD Russell,M Erasmus,S Ravi
548,2016,03-05-2016,Saurashtra Cricket Association Stadium,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,8,RR Pant,CB Gaffaney,BNJ Oxenford
549,2016,04-05-2016,Eden Gardens,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kolkata Knight Riders,7,0,AD Russell,AK Chaudhary,HDPK Dharmasena
550,2016,05-05-2016,Feroz Shah Kotla,Delhi Daredevils,Rising Pune Supergiants,Rising Pune Supergiants,field,normal,0,Rising Pune Supergiants,0,7,AM Rahane,C Shamshuddin,RJ Tucker
551,2016,06-05-2016,"Rajiv Gandhi International Stadium, Uppal",Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,5,B Kumar,M Erasmus,S Ravi
552,2016,07-05-2016,M Chinnaswamy Stadium,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,V Kohli,CB Gaffaney,BNJ Oxenford
553,2016,07-05-2016,"IS Bindra Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Kings XI Punjab,9,0,MP Stoinis,HDPK Dharmasena,CK Nandan
554,2016,08-05-2016,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,normal,0,Sunrisers Hyderabad,85,0,A Nehra,S Ravi,C Shamshuddin
555,2016,08-05-2016,Eden Gardens,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,normal,0,Gujarat Lions,0,5,P Kumar,M Erasmus,RJ Tucker
556,2016,09-05-2016,"IS Bindra Stadium, Mohali",Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,Royal Challengers Bangalore,1,0,SR Watson,AK Chaudhary,HDPK Dharmasena
